경기날짜,팀1 이름,팀2 이름,팀1 점수,팀2 점수,팀1 투수,팀2 투수
20080329,롯데,한화,11,1,,
20080329,LG,SK,4,5,,
20080329,KIA,삼성,3,4,,
20080329,롯데,한화,11,1,,
20080329,LG,SK,4,5,,
20080329,KIA,삼성,3,4,,
20080330,롯데,한화,9,8,,
20080330,넥센,두산,1,4,,
20080330,KIA,삼성,0,3,,
20080330,LG,SK,3,1,,
20080401,SK,롯데,4,8,,
20080401,두산,KIA,3,0,,
20080401,한화,넥센,5,6,,
20080401,삼성,LG,6,2,,
20080402,삼성,LG,5,4,,
20080402,SK,롯데,2,6,,
20080402,두산,KIA,2,6,,
20080402,한화,넥센,4,5,,
20080403,삼성,LG,7,2,,
20080403,SK,롯데,5,0,,
20080403,두산,KIA,3,6,,
20080403,한화,넥센,2,5,,
20080404,넥센,삼성,3,1,,
20080404,두산,SK,2,6,,
20080404,롯데,LG,6,4,,
20080404,KIA,한화,1,4,,
20080405,넥센,삼성,6,5,,
20080405,두산,SK,1,5,,
20080405,롯데,LG,3,5,,
20080405,KIA,한화,9,4,,
20080406,넥센,삼성,2,7,,
20080406,두산,SK,1,4,,
20080406,롯데,LG,7,0,,
20080406,KIA,한화,0,4,,
20080408,SK,KIA,2,1,,
20080408,롯데,삼성,9,5,,
20080408,LG,넥센,9,4,,
20080408,한화,두산,4,3,,
20080409,LG,넥센,3,7,,
20080409,한화,두산,1,5,,
20080410,SK,KIA,4,1,,
20080410,롯데,삼성,0,2,,
20080410,LG,넥센,1,6,,
20080410,한화,두산,6,8,,
20080411,삼성,한화,8,6,,
20080411,SK,넥센,6,4,,
20080411,LG,두산,3,8,,
20080411,KIA,롯데,3,7,,
20080412,삼성,한화,3,6,,
20080412,SK,넥센,10,12,,
20080412,LG,두산,6,5,,
20080412,KIA,롯데,4,8,,
20080413,삼성,한화,4,2,,
20080413,SK,넥센,3,2,,
20080413,LG,두산,5,2,,
20080413,KIA,롯데,3,4,,
20080415,넥센,한화,4,5,,
20080415,삼성,SK,1,4,,
20080415,두산,롯데,10,4,,
20080415,KIA,LG,9,10,,
20080416,넥센,한화,1,8,,
20080416,삼성,SK,6,7,,
20080416,KIA,LG,1,0,,
20080417,넥센,한화,4,5,,
20080417,삼성,SK,1,2,,
20080417,KIA,LG,3,6,,
20080418,SK,두산,6,3,,
20080418,롯데,넥센,9,2,,
20080418,LG,삼성,2,7,,
20080418,한화,KIA,6,1,,
20080419,SK,두산,5,6,,
20080419,롯데,넥센,5,2,,
20080419,LG,삼성,4,1,,
20080419,한화,KIA,7,10,,
20080420,SK,두산,11,2,,
20080420,롯데,넥센,4,12,,
20080420,LG,삼성,7,3,,
20080420,한화,KIA,7,3,,
20080422,넥센,KIA,3,4,,
20080422,두산,삼성,7,6,,
20080422,한화,LG,4,3,,
20080423,넥센,KIA,7,0,,
20080423,두산,삼성,7,0,,
20080423,롯데,SK,2,5,,
20080423,한화,LG,8,4,,
20080424,넥센,KIA,6,7,,
20080424,두산,삼성,3,7,,
20080424,롯데,SK,1,2,,
20080424,한화,LG,13,1,,
20080425,넥센,LG,3,4,,
20080425,삼성,롯데,3,4,,
20080425,두산,한화,4,3,,
20080425,KIA,SK,7,9,,
20080426,넥센,LG,1,0,,
20080426,삼성,롯데,4,3,,
20080426,두산,한화,2,3,,
20080426,KIA,SK,1,4,,
20080427,삼성,롯데,17,3,,
20080427,넥센,LG,7,8,,
20080427,두산,한화,3,4,,
20080427,KIA,SK,3,4,,
20080429,넥센,삼성,5,6,,
20080429,SK,한화,8,4,,
20080429,LG,롯데,0,8,,
20080429,KIA,두산,6,2,,
20080430,넥센,삼성,4,3,,
20080430,SK,한화,2,6,,
20080430,LG,롯데,4,3,,
20080430,KIA,두산,6,7,,
20080501,넥센,삼성,2,0,,
20080501,SK,한화,6,4,,
20080501,LG,롯데,5,8,,
20080501,KIA,두산,1,5,,
20080503,두산,LG,16,4,,
20080503,넥센,SK,0,2,,
20080503,롯데,KIA,2,4,,
20080503,한화,삼성,5,13,,
20080504,한화,삼성,2,4,,
20080504,넥센,SK,6,1,,
20080504,두산,LG,8,3,,
20080505,두산,LG,4,2,,
20080505,넥센,SK,3,1,,
20080505,롯데,KIA,6,3,,
20080505,한화,삼성,8,1,,
20080506,삼성,KIA,6,4,,
20080506,SK,LG,7,5,,
20080506,두산,넥센,11,5,,
20080506,한화,롯데,4,3,,
20080507,삼성,KIA,1,6,,
20080507,SK,LG,7,0,,
20080507,두산,넥센,6,4,,
20080507,한화,롯데,6,3,,
20080508,삼성,KIA,0,3,,
20080508,SK,LG,6,4,,
20080508,두산,넥센,5,4,,
20080508,한화,롯데,5,3,,
20080509,SK,삼성,8,5,,
20080509,롯데,두산,9,2,,
20080509,LG,한화,5,11,,
20080509,KIA,넥센,12,1,,
20080510,SK,삼성,4,7,,
20080510,롯데,두산,5,3,,
20080510,LG,한화,6,7,,
20080510,KIA,넥센,4,1,,
20080511,SK,삼성,10,7,,
20080511,LG,한화,6,1,,
20080511,롯데,두산,1,4,,
20080511,KIA,넥센,3,1,,
20080513,넥센,LG,5,2,,
20080513,삼성,롯데,1,4,,
20080513,두산,SK,5,3,,
20080513,KIA,한화,0,1,,
20080514,넥센,LG,4,0,,
20080514,삼성,롯데,5,3,,
20080514,두산,SK,8,3,,
20080514,KIA,한화,10,4,,
20080515,넥센,LG,4,6,,
20080515,삼성,롯데,4,3,,
20080515,두산,SK,5,1,,
20080515,KIA,한화,6,5,,
20080516,넥센,롯데,7,6,,
20080516,삼성,두산,8,3,,
20080516,LG,KIA,4,6,,
20080516,한화,SK,3,7,,
20080517,넥센,롯데,2,9,,
20080517,삼성,두산,4,11,,
20080517,LG,KIA,5,0,,
20080517,한화,SK,5,4,,
20080518,넥센,롯데,2,1,,
20080518,LG,KIA,11,2,,
20080520,SK,넥센,10,9,,
20080520,롯데,KIA,2,3,,
20080520,LG,삼성,1,0,,
20080520,한화,두산,5,2,,
20080521,SK,넥센,7,3,,
20080521,롯데,KIA,6,5,,
20080521,LG,삼성,3,5,,
20080521,한화,두산,2,6,,
20080522,SK,넥센,6,1,,
20080522,롯데,KIA,6,2,,
20080522,LG,삼성,6,3,,
20080522,한화,두산,3,4,,
20080523,삼성,한화,12,5,,
20080523,롯데,SK,9,3,,
20080523,KIA,LG,2,4,,
20080524,삼성,한화,11,4,,
20080524,롯데,SK,7,3,,
20080524,KIA,LG,15,13,,
20080525,삼성,한화,1,5,,
20080525,두산,넥센,6,5,,
20080525,롯데,SK,7,5,,
20080525,KIA,LG,13,2,,
20080527,삼성,넥센,15,4,,
20080527,SK,KIA,9,5,,
20080527,두산,LG,8,5,,
20080527,한화,롯데,7,8,,
20080528,삼성,넥센,4,1,,
20080528,두산,LG,5,7,,
20080529,삼성,넥센,7,2,,
20080529,SK,KIA,7,2,,
20080529,두산,LG,8,3,,
20080529,한화,롯데,4,1,,
20080530,SK,삼성,6,7,,
20080530,롯데,넥센,4,8,,
20080530,LG,한화,6,8,,
20080530,KIA,두산,10,3,,
20080531,SK,삼성,0,3,,
20080531,롯데,넥센,11,2,,
20080531,LG,한화,11,7,,
20080531,KIA,두산,8,3,,
20080601,LG,한화,8,2,,
20080601,SK,삼성,18,0,,
20080601,롯데,넥센,8,3,,
20080601,KIA,두산,6,2,,
20080603,삼성,LG,1,7,,
20080603,두산,롯데,1,2,,
20080603,한화,KIA,4,1,,
20080604,한화,KIA,1,6,,
20080605,넥센,SK,2,5,,
20080605,삼성,LG,4,3,,
20080605,두산,롯데,1,2,,
20080605,한화,KIA,3,7,,
20080606,SK,롯데,5,2,,
20080606,넥센,한화,0,1,,
20080606,삼성,KIA,3,5,,
20080606,LG,두산,2,10,,
20080607,SK,롯데,2,0,,
20080607,넥센,한화,2,6,,
20080607,삼성,KIA,4,1,,
20080607,LG,두산,3,4,,
20080608,삼성,KIA,0,4,,
20080608,SK,롯데,3,1,,
20080610,롯데,두산,2,5,,
20080610,LG,SK,3,4,,
20080610,KIA,넥센,2,10,,
20080610,한화,삼성,10,1,,
20080611,롯데,두산,4,5,,
20080611,LG,SK,1,6,,
20080611,KIA,넥센,4,0,,
20080611,한화,삼성,13,8,,
20080612,롯데,두산,4,9,,
20080612,LG,SK,5,19,,
20080612,KIA,넥센,1,2,,
20080612,한화,삼성,9,2,,
20080613,넥센,롯데,2,3,,
20080613,두산,삼성,3,6,,
20080613,KIA,SK,6,14,,
20080613,한화,LG,3,8,,
20080614,두산,삼성,14,3,,
20080614,넥센,롯데,2,8,,
20080614,KIA,SK,8,2,,
20080614,한화,LG,14,4,,
20080615,넥센,롯데,3,6,,
20080615,두산,삼성,1,9,,
20080615,KIA,SK,1,10,,
20080615,한화,LG,7,4,,
20080617,삼성,넥센,6,9,,
20080617,SK,두산,11,0,,
20080617,롯데,한화,9,4,,
20080617,LG,KIA,1,7,,
20080619,삼성,넥센,10,11,,
20080619,SK,두산,0,8,,
20080619,롯데,한화,8,9,,
20080619,LG,KIA,6,8,,
20080620,삼성,SK,2,12,,
20080620,두산,KIA,10,1,,
20080620,롯데,LG,4,1,,
20080620,한화,넥센,13,2,,
20080621,삼성,SK,1,3,,
20080621,두산,KIA,7,4,,
20080621,롯데,LG,9,3,,
20080621,한화,넥센,1,2,,
20080622,삼성,SK,3,9,,
20080622,두산,KIA,6,4,,
20080622,롯데,LG,10,0,,
20080622,한화,넥센,0,7,,
20080624,넥센,두산,5,4,,
20080624,SK,롯데,9,5,,
20080624,LG,삼성,2,3,,
20080624,KIA,한화,3,5,,
20080625,넥센,두산,4,12,,
20080625,SK,롯데,3,2,,
20080625,LG,삼성,1,2,,
20080625,KIA,한화,4,5,,
20080626,넥센,두산,2,7,,
20080626,SK,롯데,3,1,,
20080626,LG,삼성,20,1,,
20080626,KIA,한화,4,1,,
20080627,삼성,두산,1,10,,
20080627,LG,넥센,0,5,,
20080627,KIA,롯데,6,2,,
20080627,한화,SK,7,9,,
20080628,삼성,두산,7,0,,
20080628,LG,넥센,3,6,,
20080628,한화,SK,2,0,,
20080629,삼성,두산,2,1,,
20080629,LG,넥센,1,4,,
20080629,KIA,롯데,4,5,,
20080629,한화,SK,1,2,,
20080701,SK,LG,2,4,,
20080701,두산,한화,4,6,,
20080701,롯데,삼성,3,7,,
20080702,넥센,KIA,4,3,,
20080702,두산,한화,8,6,,
20080703,넥센,KIA,2,12,,
20080703,SK,LG,3,4,,
20080703,두산,한화,5,6,,
20080703,롯데,삼성,11,3,,
20080704,넥센,두산,8,0,,
20080704,SK,한화,1,3,,
20080704,LG,롯데,0,7,,
20080704,KIA,삼성,11,0,,
20080705,SK,한화,4,7,,
20080705,LG,롯데,6,2,,
20080705,KIA,삼성,5,4,,
20080706,넥센,두산,2,4,,
20080706,SK,한화,4,3,,
20080706,LG,롯데,1,4,,
20080706,KIA,삼성,4,3,,
20080708,삼성,SK,9,3,,
20080708,롯데,넥센,2,4,,
20080708,LG,두산,2,3,,
20080708,한화,KIA,1,4,,
20080709,삼성,SK,0,3,,
20080709,롯데,넥센,4,9,,
20080709,LG,두산,1,5,,
20080709,한화,KIA,7,4,,
20080710,삼성,SK,6,2,,
20080710,롯데,넥센,1,0,,
20080710,LG,두산,0,4,,
20080710,한화,KIA,2,0,,
20080711,넥센,한화,4,7,,
20080711,삼성,LG,4,6,,
20080711,두산,롯데,8,3,,
20080711,KIA,SK,2,1,,
20080712,넥센,한화,11,5,,
20080712,삼성,LG,0,3,,
20080712,두산,롯데,1,0,,
20080713,넥센,한화,6,7,,
20080713,삼성,LG,0,2,,
20080713,두산,롯데,3,2,,
20080713,KIA,SK,1,3,,
20080715,넥센,삼성,9,3,,
20080715,SK,두산,7,8,,
20080715,LG,한화,3,5,,
20080715,KIA,롯데,3,2,,
20080716,넥센,삼성,2,6,,
20080716,LG,한화,4,11,,
20080716,KIA,롯데,4,1,,
20080717,넥센,삼성,6,9,,
20080717,SK,두산,2,6,,
20080717,LG,한화,7,11,,
20080717,KIA,롯데,2,3,,
20080718,SK,넥센,3,2,,
20080718,두산,KIA,3,4,,
20080718,롯데,LG,3,4,,
